"tick","run","Human Count","Zombie Count"
102.0,1,185,20
103.0,1,185,20
104.0,1,185,20
105.0,1,184,21
106.0,1,183,22
107.0,1,183,22
108.0,1,180,25
109.0,1,180,25
110.0,1,178,27
111.0,1,176,29
112.0,1,176,29
113.0,1,176,29
114.0,1,175,30
115.0,1,172,33
116.0,1,171,34
117.0,1,169,36
118.0,1,168,37
119.0,1,168,37
120.0,1,168,37
121.0,1,168,37
122.0,1,168,37
123.0,1,165,40
124.0,1,163,42
125.0,1,162,43
126.0,1,157,48
127.0,1,154,51
128.0,1,152,53
129.0,1,151,54
130.0,1,150,55
131.0,1,150,55
132.0,1,149,56
133.0,1,148,57
134.0,1,144,61
135.0,1,144,61
136.0,1,143,62
137.0,1,141,64
138.0,1,140,65
139.0,1,138,67
140.0,1,138,67
141.0,1,137,68
142.0,1,136,69
143.0,1,136,69
144.0,1,135,70
145.0,1,133,72
146.0,1,130,75
147.0,1,129,76
148.0,1,128,77
149.0,1,124,81
150.0,1,123,82
151.0,1,122,83
152.0,1,121,84
153.0,1,118,87
154.0,1,115,90
155.0,1,113,92
156.0,1,110,95
157.0,1,109,96
158.0,1,108,97
159.0,1,107,98
160.0,1,105,100
161.0,1,105,100
162.0,1,104,101
163.0,1,101,104
164.0,1,99,106
165.0,1,99,106
166.0,1,98,107
167.0,1,98,107
168.0,1,96,109
169.0,1,95,110
170.0,1,93,112
171.0,1,91,114
172.0,1,91,114
173.0,1,89,116
174.0,1,85,120
175.0,1,83,122
176.0,1,79,126
177.0,1,76,129
178.0,1,75,130
179.0,1,75,130
180.0,1,74,131
181.0,1,74,131
182.0,1,69,136
183.0,1,66,139
184.0,1,63,142
185.0,1,61,144
186.0,1,61,144
187.0,1,57,148
188.0,1,57,148
189.0,1,54,151
190.0,1,53,152
191.0,1,52,153
192.0,1,51,154
193.0,1,51,154
194.0,1,49,156
195.0,1,46,159
196.0,1,46,159
197.0,1,44,161
198.0,1,41,164
199.0,1,40,165
200.0,1,39,166
201.0,1,38,167
202.0,1,36,169
203.0,1,35,170
204.0,1,33,172
205.0,1,32,173
206.0,1,32,173
207.0,1,32,173
208.0,1,31,174
209.0,1,31,174
210.0,1,31,174
211.0,1,29,176
212.0,1,29,176
213.0,1,28,177
214.0,1,28,177
215.0,1,26,179
216.0,1,25,180
217.0,1,24,181
218.0,1,23,182
219.0,1,22,183
220.0,1,21,184
221.0,1,20,185
222.0,1,20,185
223.0,1,20,185
224.0,1,20,185
225.0,1,20,185
226.0,1,18,187
227.0,1,18,187
228.0,1,18,187
229.0,1,18,187
230.0,1,18,187
231.0,1,16,189
232.0,1,16,189
233.0,1,16,189
234.0,1,15,190
235.0,1,15,190
236.0,1,14,191
237.0,1,11,194
238.0,1,11,194
239.0,1,11,194
240.0,1,10,195
241.0,1,10,195
242.0,1,9,196
243.0,1,8,197
244.0,1,7,198
245.0,1,7,198
246.0,1,7,198
247.0,1,7,198
